일자,요일,휴일,법정공휴일명
2019-03-03,일요일,Y,
2019-03-04,월요일,N,
2019-03-05,화요일,N,
2019-03-06,수요일,N,
2019-03-07,목요일,N,
2019-03-08,금요일,N,
2019-03-09,토요일,N,
2019-03-10,일요일,Y,
2019-03-11,월요일,N,
2019-03-12,화요일,N,
2019-03-13,수요일,N,
2019-03-14,목요일,N,
2019-03-15,금요일,N,
2019-03-16,토요일,N,
2019-03-17,일요일,Y,
2019-03-18,월요일,N,
2019-03-19,화요일,N,
2019-03-20,수요일,N,
2019-03-21,목요일,N,
2019-03-22,금요일,N,
2019-03-23,토요일,N,
2019-03-24,일요일,Y,
2019-03-25,월요일,N,
2019-03-26,화요일,N,
2019-03-27,수요일,N,
2019-03-28,목요일,N,
2019-03-29,금요일,N,
2019-03-30,토요일,N,
2019-03-31,일요일,Y,
2019-04-01,월요일,N,
2019-04-02,화요일,N,
2019-04-03,수요일,N,
2019-04-04,목요일,N,
2019-04-05,금요일,N,
2019-04-06,토요일,N,
2019-04-07,일요일,Y,
2019-04-08,월요일,N,
2019-04-09,화요일,N,
2019-04-10,수요일,N,
2019-04-11,목요일,N,
2019-04-12,금요일,N,
2019-04-13,토요일,N,
2019-04-14,일요일,Y,
2019-04-15,월요일,N,
2019-04-16,화요일,N,
2019-04-17,수요일,N,
2019-04-18,목요일,N,
2019-04-19,금요일,N,
2019-04-20,토요일,N,
2019-04-21,일요일,Y,
2019-04-22,월요일,N,
2019-04-23,화요일,N,
2019-04-24,수요일,N,
2019-04-25,목요일,N,
2019-04-26,금요일,N,
2019-04-27,토요일,N,
2019-04-28,일요일,Y,
2019-04-29,월요일,N,
2019-04-30,화요일,N,
2019-05-01,수요일,N,
2019-05-02,목요일,N,
2019-05-03,금요일,N,
2019-05-04,토요일,N,
2019-05-05,일요일,Y,어린이날
2019-05-06,월요일,Y,대체공휴일
2019-05-07,화요일,N,
2019-05-08,수요일,N,
2019-05-09,목요일,N,
2019-05-10,금요일,N,
2019-05-11,토요일,N,
2019-05-12,일요일,Y,부처님오신날
2019-05-13,월요일,N,
2019-05-14,화요일,N,
2019-05-15,수요일,N,
2019-05-16,목요일,N,
2019-05-17,금요일,N,
2019-05-18,토요일,N,
2019-05-19,일요일,Y,
